所属階層１,所属階層２,所属階層３,所属階層４,所属階層５
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第1ユニット
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームフロントチーム,CRGフロント第3ユニット
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,大阪CRユニット
レバテック株式会社,ITソリューション事業部,ITS支店グループ,地方事業推進チーム,
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INフロントチーム,INフロント第3ユニット
レバテック株式会社,ITリクルーティング事業部,福岡グループ,キャリアアドバイザーチーム,CA第2ユニット
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),キャリアアドバイザーチーム,開発第1ユニット
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),キャリアアドバイザーチーム,開発第2ユニット
中途採用事業本部,転職エージェント事業部,エージェントグループ,第1ユニット,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,リクルーティングアドバイザーチーム,RA第2ユニット
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Fチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤Gチーム
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,船橋Aチーム,
エージェント第一事業本部,介護エージェント事業部,東海グループ,三重岐阜静岡Aチーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第7ユニット
レバテック株式会社,ITソリューション事業部,IStoCグループ,カスタマードライブチーム,カスタマードライブユニット
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,,
システム本部,ソリューション開発部,ヒューマンキャピタル事業,セールスシステムグループ,転職領域チーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Cチーム
総務部,総務グループ2,,,
エージェント第一事業本部,介護エージェント事業部,大阪グループ,大阪Cチーム,
システム本部,レバウェル開発部,CXグループ,新規事業チーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,リクルーティングアドバイザーチーム,RA第1ユニット
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理千葉チーム,WL管理千葉ユニット5
LW経営企画本部,経営企画部,CRMセールス,保育CRMセールスチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Dチーム
エージェント第三事業本部,医師エージェント事業部,医師エージェントグループ,医師チーム,
システム本部,レバウェル開発部,DataForceグループ,開発SLチーム,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,首都圏RAチーム,HTRA首都圏スタッフィングユニット1
秘書室,,,,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Bチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Bチーム
エージェント第一事業本部,介護エージェント事業部,北日本グループ,東北Aチーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC施設在宅Bチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Dチーム
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第1ユニット
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),リクルーティングアドバイザーチーム,第3ユニット
